timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
530387771.09,219.33,10.18,212.18,163.2,0,0,1638.99,1142.17,1639.81,1142.17,
530387761.03,12.7,0,11.49,0,0,0,2899.92,395.65,2897.38,395.65,
530387750.96,26.2,0.01,25.16,0.1,0,0,1500.05,1312.44,1483.83,512.44,
530387740.85,17.93,0,18.32,0.01,0,0,1209.43,780.64,1306.06,380.64,
530387730.74,23.2,0.03,22.97,0.31,0,0,721.84,495.43,726.95,395.43,
530387720.63,13.78,0,14.11,0.03,0,0,443.13,187.65,439.81,137.65,
530387710.57,14.81,0.01,14.42,0.02,0,0,577.77,157.81,574.64,157.81,
530387700.49,24.76,0.05,25.51,2.04,0,0,432.57,288.38,431.58,288.38,
530387690.43,32.78,0.07,30.3,1.04,0,0,1009.14,300.83,1019.59,300.83,
530387680.36,49.55,0,49.11,0.04,0,0,1474.52,1105.16,1488.36,1105.16,
530387670.29,22.69,0.02,21.84,0.6,0,0,420.73,333.3,467.03,333.3,
530387660.27,36.33,0,35.27,0,0,0,3004,495.21,3004.27,495.21,
530387650.24,72.12,0,71.46,0,0,0,2025.14,1758.69,2019.32,1758.69,
530387640.17,18.26,0,18.11,0.01,0,0,2278.06,597.22,2348.21,597.22,
530387630.10,15.62,0,14.73,0.01,0,0,1701.36,781.27,1711.34,781.27,
530387620.07,26.9,0.01,27.49,1.22,0,0,2319.34,797.51,2310.14,797.51,
530387610.00,17.95,0,16.85,0,0,0,2326.07,797.51,2317.65,797.51,
530387599.87,192.49,10.22,189.3,163.78,0,0,1577.58,748.07,1564.1,748.07,
530387589.80,41.04,0.01,39.98,0.28,0,0,2634.41,906.14,2630.09,906.14,
530387579.73,21.17,0.01,20.72,0.1,0,0,1988.42,424.97,2011.91,424.97,
530387569.66,22.6,0.01,20.98,0.15,0,0,1511.34,1287.41,1586.62,487.4,
530387559.63,24.47,0,24.93,0.13,0,0,982.38,866.38,993.33,466.38,
530387549.61,42.31,0.31,47.36,6.42,0,0,468.41,319.6,461.04,169.6,
530387539.54,24.11,0.1,22.38,1.55,0,0,344.96,113.87,342.37,113.87,
530387529.47,25.36,0.01,24.05,0.52,0,0,773.27,352.73,770.9,352.73,
530387519.44,11.73,0.01,13.7,0.32,0,0,259.5,161.91,262.76,161.91,
530387509.42,55.11,0,54.6,0.04,0,0,1889.76,1037.89,1898.26,1037.89,
530387499.35,22.74,0.04,23.82,1.66,0,0,743.08,390.33,765.77,390.33,
530387489.28,13.44,0,13.47,0.01,0,0,1684.22,334.63,1691.43,334.63,
530387479.21,65.59,0,64.26,0,0,0,2415.7,1375.42,2413.4,1375.42,
530387469.14,44.91,0,43.9,0.01,0,0,2470.09,1090.55,2455.54,1090.55,
530387459.07,15.36,0,14.68,0,0,0,1491.69,684.63,1410.33,684.63,
530387449.05,19.78,0.03,17.43,0.04,0,0,2286.17,765.33,2298.82,765.33,
530387438.97,22.04,0.04,22.93,0.13,0,0,2337.5,790.82,2339.75,790.82,
530387428.93,29.64,0.01,25.61,0.47,0,0,2223.4,826.25,2237.73,826.25,
530387418.82,217.63,10.23,214.32,163.39,0,0,1844.01,983.21,1845.78,983.21,
530387408.75,13.02,0,13.23,0,0,0,2753.25,397.53,2750.06,397.53,
530387398.68,25.21,0,24.67,0.01,0,0,1645.32,1343.34,1662.11,543.34,
530387388.61,21.83,0,20.46,0.05,0,0,1162.61,816.24,1206.99,416.24,
530387378.58,17.3,0.01,17.03,0.11,0,0,613.85,420.04,614.72,320.04,
530387368.56,19.39,0.04,19.95,1.84,0,0,427.52,181.01,424.92,131.01,
530387358.50,17.67,0.01,16.05,0.06,0,0,646.61,173.05,643.31,173.05,
530387348.43,16.5,0.01,16.24,0.07,0,0,371.33,276.71,371.16,276.71,
530387338.37,24.03,0.01,22.94,0.13,0,0,1132.03,326.56,1130.4,326.56,
530387328.30,47.99,0.01,47.74,0.2,0,0,1376.2,1086.96,1379.01,1086.96,
530387318.24,17.24,0.02,16.98,0.54,0,0,411.31,347.22,446.42,347.22,
530387308.21,49.43,0.01,50.62,1.42,0,0,3164.28,511.13,3163.54,511.13,
530387298.10,68.83,0,68.76,0,0,0,2047.07,1745.81,2041.77,1745.81,
